membership_id,player_id,club_id,season,position,market_value_eur
manuel_neuer_bayern_munich_2025_26,manuel_neuer,bayern_munich,2025-26,Goalkeeper,4000000
sven_ulreich_bayern_munich_2025_26,sven_ulreich,bayern_munich,2025-26,Goalkeeper,500000
jonas_urbig_bayern_munich_2025_26,jonas_urbig,bayern_munich,2025-26,Goalkeeper,18000000
alphonso_davies_bayern_munich_2025_26,alphonso_davies,bayern_munich,2025-26,Defender,40000000
raphael_guerreiro_bayern_munich_2025_26,raphael_guerreiro,bayern_munich,2025-26,Defender,5000000
hiroki_ito_bayern_munich_2025_26,hiroki_ito,bayern_munich,2025-26,Defender,18000000
cassiano_kiala_bayern_munich_2025_26,cassiano_kiala,bayern_munich,2025-26,Defender,2000000
min_jae_kim_bayern_munich_2025_26,min_jae_kim,bayern_munich,2025-26,Defender,20000000
deniz_ofli_bayern_munich_2025_26,deniz_ofli,bayern_munich,2025-26,Defender,2000000
josip_stanisic_bayern_munich_2025_26,josip_stanisic,bayern_munich,2025-26,Defender,40000000
jonathan_tah_bayern_munich_2025_26,jonathan_tah,bayern_munich,2025-26,Defender,28000000
dayot_upamecano_bayern_munich_2025_26,dayot_upamecano,bayern_munich,2025-26,Defender,70000000
tom_bischof_bayern_munich_2025_26,tom_bischof,bayern_munich,2025-26,Midfielder,40000000
maycon_cardozo_bayern_munich_2025_26,maycon_cardozo,bayern_munich,2025-26,Midfielder,3000000
david_daiber_bayern_munich_2025_26,david_daiber,bayern_munich,2025-26,Midfielder,3000000
leon_goretzka_bayern_munich_2025_26,leon_goretzka,bayern_munich,2025-26,Midfielder,12000000
lennart_karl_bayern_munich_2025_26,lennart_karl,bayern_munich,2025-26,Midfielder,60000000
joshua_kimmich_bayern_munich_2025_26,joshua_kimmich,bayern_munich,2025-26,Midfielder,35000000
konrad_laimer_bayern_munich_2025_26,konrad_laimer,bayern_munich,2025-26,Midfielder,32000000
wisdom_mike_bayern_munich_2025_26,wisdom_mike,bayern_munich,2025-26,Midfielder,5000000
jamal_musiala_bayern_munich_2025_26,jamal_musiala,bayern_munich,2025-26,Midfielder,100000000
bara_ndiaye_bayern_munich_2025_26,bara_ndiaye,bayern_munich,2025-26,Midfielder,4000000
michael_olise_bayern_munich_2025_26,michael_olise,bayern_munich,2025-26,Midfielder,150000000
erblin_osmani_bayern_munich_2025_26,erblin_osmani,bayern_munich,2025-26,Midfielder,2000000
aleksandar_pavlovic_bayern_munich_2025_26,aleksandar_pavlovic,bayern_munich,2025-26,Midfielder,90000000
luis_diaz_bayern_munich_2025_26,luis_diaz,bayern_munich,2025-26,Forward,70000000
serge_gnabry_bayern_munich_2025_26,serge_gnabry,bayern_munich,2025-26,Forward,18000000
nicolas_jackson_bayern_munich_2025_26,nicolas_jackson,bayern_munich,2025-26,Forward,40000000
harry_kane_bayern_munich_2025_26,harry_kane,bayern_munich,2025-26,Forward,60000000
gregor_kobel_borussia_dortmund_2025_26,gregor_kobel,borussia_dortmund,2025-26,Goalkeeper,40000000
waldemar_anton_borussia_dortmund_2025_26,waldemar_anton,borussia_dortmund,2025-26,Defender,18000000
ramy_bensebaini_borussia_dortmund_2025_26,ramy_bensebaini,borussia_dortmund,2025-26,Defender,7000000
yan_couto_borussia_dortmund_2025_26,yan_couto,borussia_dortmund,2025-26,Defender,17000000
almugera_kabar_borussia_dortmund_2025_26,almugera_kabar,borussia_dortmund,2025-26,Defender,3000000
filippo_mane_borussia_dortmund_2025_26,filippo_mane,borussia_dortmund,2025-26,Defender,2500000
luca_reggiani_borussia_dortmund_2025_26,luca_reggiani,borussia_dortmund,2025-26,Defender,10000000
julian_ryerson_borussia_dortmund_2025_26,julian_ryerson,borussia_dortmund,2025-26,Defender,25000000
nico_schlotterbeck_borussia_dortmund_2025_26,nico_schlotterbeck,borussia_dortmund,2025-26,Defender,55000000
niklas_sule_borussia_dortmund_2025_26,niklas_sule,borussia_dortmund,2025-26,Defender,4000000
